titulo: Q8base
tipo de elemento: QUAD8
parametro da fronteira: 0.7
coordenadas dos nos
209
1 0.3500 0.6000
2 0.3500 0.3000
3 0.1750 0.6000
4 0.3500 0.7500
5 0.5250 0.6000
6 0.3500 0.1500
7 0.1750 0.3000
8 0.3500 0.4500
9 0.5250 0.3000
10 0.0000 0.3000
11 0.0000 0.6000
12 0.0000 0.7500
13 0.0000 0.1500
14 0.0000 0.4500
15 0.3500 0.0000
16 0.1750 0.0000
17 0.5250 0.0000
18 0.3500 0.9000
19 0.1750 0.9000
20 0.5250 0.9000
21 0.7000 0.3000
22 0.7000 0.6000
23 0.7000 0.7500
24 0.7000 0.1500
25 0.7000 0.4500
26 0.0000 0.0000
27 0.0000 0.9000
28 0.7000 0.0000
29 0.7000 0.9000
30 3.6000 0.7500
31 2.7854 0.7447
32 3.0726 0.7516
33 3.2846 0.7879
34 3.4675 0.6846
35 3.2721 0.6876
36 3.5700 0.8250
37 3.7000 0.6750
38 3.4773 0.6423
39 3.5338 0.7173
40 2.6427 0.7223
41 2.7992 0.6723
42 2.9290 0.7481
43 3.1113 0.6758
44 3.4423 0.7689
45 3.3698 0.6861
46 3.2784 0.7377
47 3.2111 0.6438
48 3.1786 0.7697
49 3.2823 0.8439
50 3.0463 0.8258
51 2.7727 0.8223
52 2.5000 0.7000
53 2.5000 0.6500
54 2.5000 0.8000
55 3.4870 0.6000
56 3.1500 0.6000
57 2.8130 0.6000
58 3.6435 0.6000
59 2.6565 0.6000
60 2.9815 0.6000
61 3.3185 0.6000
62 2.7600 0.9000
63 3.0200 0.9000
64 3.2800 0.9000
65 3.5400 0.9000
66 3.6700 0.9000
67 3.4100 0.9000
68 3.1500 0.9000
69 2.6300 0.9000
70 2.8900 0.9000
71 3.8000 0.7500
72 2.5000 0.9000
73 2.5000 0.6000
74 3.8000 0.6000
75 3.8000 0.9000
76 1.0040 0.3480
77 0.9680 0.2080
78 1.0104 0.5916
79 1.1573 0.6443
80 1.1482 0.7595
81 1.0196 0.7458
82 0.8552 0.5958
83 1.0072 0.4698
84 0.8520 0.3240
85 0.9884 0.1764
86 0.9860 0.2780
87 1.0203 0.3176
88 1.0489 0.5074
89 1.2241 0.7298
90 1.0885 0.8298
91 1.2287 0.6472
92 1.1528 0.7019
93 1.0839 0.6180
94 1.1640 0.5929
95 0.8340 0.1040
96 1.5910 0.3480
97 1.6270 0.2080
98 1.7058 0.5939
99 1.6765 0.1499
100 1.4486 0.6159
101 1.4763 0.7050
102 1.5495 0.5135
103 1.5903 0.5977
104 1.7477 0.2047
105 1.6368 0.2691
106 1.6338 0.1474
107 1.7886 0.0753
108 1.5240 0.8017
109 1.3884 0.7056
110 1.4630 0.6604
111 1.3760 0.6398
112 1.4385 0.5789
113 1.6395 0.7477
114 1.8027 0.5667
115 1.6485 0.4705
116 1.7456 0.2637
117 1.4983 0.5659
118 1.5306 0.4691
119 1.5338 0.6510
120 1.5700 0.5553
121 1.6484 0.5956
122 1.5703 0.4320
123 1.6518 0.1790
124 1.5952 0.2476
125 1.7118 0.1776
126 1.8239 0.1923
127 1.6920 0.2368
128 1.6139 0.3087
129 1.6322 0.2384
130 1.5775 0.3173
131 2.2510 0.4790
132 2.1420 0.1060
133 2.1727 0.3689
134 2.3432 0.6463
135 2.1057 0.5283
136 2.2140 0.6349
137 2.0687 0.3609
138 2.0210 0.1430
139 2.1710 0.0530
140 2.1574 0.2375
141 2.2003 0.3110
142 2.4216 0.6732
143 2.3653 0.6012
144 2.2971 0.5627
145 2.2721 0.4568
146 2.2119 0.4240
147 2.2860 0.7732
148 2.1053 0.2335
149 2.0872 0.4446
150 2.1392 0.4486
151 1.9843 0.4505
152 2.1598 0.5816
153 2.2325 0.5569
154 2.2214 0.7674
155 2.0028 0.7141
156 0.8500 0.0000
157 1.0288 0.9000
158 0.8644 0.9000
159 1.1644 0.9000
160 1.1707 0.5414
161 1.0873 0.4232
162 1.0366 0.2873
163 1.0089 0.1449
164 1.0202 0.2166
165 1.0587 0.3565
166 1.1239 0.4859
167 1.2298 0.5833
168 1.0044 0.0724
169 1.3000 0.6500
170 1.3000 0.6750
171 1.3000 0.6250
172 1.3000 0.8000
173 1.5911 0.1449
174 1.5634 0.2873
175 1.5127 0.4232
176 1.4293 0.5414
177 1.5978 0.0726
178 1.3702 0.5833
179 1.4761 0.4859
180 1.5772 0.2161
181 1.5413 0.3565
182 1.5712 0.9000
183 1.4356 0.9000
184 1.7356 0.9000
185 1.7500 0.0000
186 1.9000 0.1800
187 1.9000 0.5400
188 1.9000 0.7200
189 1.9000 0.3600
190 1.9000 0.0900
191 2.0500 0.0000
192 2.2288 0.9000
193 2.3644 0.9000
194 2.0644 0.9000
195 2.3873 0.5560
196 2.2932 0.4346
197 2.2280 0.2531
198 2.2068 0.1273
199 2.4399 0.5878
200 2.3342 0.5000
201 2.2548 0.3459
202 1.0000 0.0000
203 1.3000 0.9000
204 1.3000 0.6000
205 1.3000 0.7000
206 1.6000 0.0000
207 1.9000 0.9000
208 1.9000 0.0000
209 2.2000 0.0000
matriz de incidencias/conetividades
56
1 1 8 27 18 1 11 19 4 3 12
2 1 8 29 22 1 18 23 5 4 20
3 1 8 26 10 2 15 13 7 6 16
4 1 8 11 1 2 10 3 8 7 14
5 1 8 15 2 21 28 6 9 24 17
6 1 8 1 22 21 2 5 25 9 8
7 1 8 75 74 30 65 71 37 36 66
8 1 8 55 34 30 74 38 39 37 58
9 1 8 52 31 57 73 40 41 59 53
10 1 8 31 32 56 57 42 43 60 41
11 1 8 34 35 33 30 45 46 44 39
12 1 8 56 35 34 55 47 45 38 61
13 1 8 56 32 33 35 43 48 46 47
14 1 8 30 33 64 65 44 49 67 36
